,,Status Id,,Campus Pref,,,,Discpline Pref.,,,,Matriculation,,,,Intermediate,,,,,,NU Test Marks,,SAT I ,,SAT II,,,NU Merit Marks,,NTS Admission Offer,,NU Admission Offer,,Admission,,,,,,,,,,,,,,,,,,,,,,,,,
L,CITY,STATUS_ID,STATUS,Ist,2nd,3rd,4th,Ist,2nd,3rd,4th,Board,Degree,Total,Obtained,Board,Degree,Total,Obtained,NTS_MARKS,NU_TEST_CENTER,BBA,BS,Total,Obtained,Total,Obtained,NTS Merit Marks,BBA/BS(AF),BS,Campus,Discipline,Campus,Discipline,Campus,Discipline,DEGREE_STATUS,,,,,,,,,,,,,,,,,,,,,,,
1906629,Hafizabad,7,Challan Printed,ISB,,,,BBA,BS(CSDF),,,Gujranwala,SSC,1100,574,Gujranwala,HSSC (I+II),1100,574,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906631,Lahore,8,Fee Paid,LHR,,,,BS(CS),,,,Others,O-Level,900,748,Others,A-Level,1100,748,,,,,2400,1220,,,,,,,,,,LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906632,Gujrat,10,Admit Card Printed,LHR,,,,BS(EE),,,,Gujranwala,SSC,1100,927,,,,927,,LHR,,32.111109,,,,,,,53.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906635,Lahore,4,TestType,LHR,,,,BS(CS),,,,Federal,SSC,850,456,,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906636,Multan,8,Fee Paid,LHR,,,,BS(EE),BBA,,,Multan,SSC,1100,994,Multan,HSSC-I,520,994,50,,,,,,,,62.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906637,Lodhran,2,AcademicInfo,,,,,,,,,Multan,SSC,1100,912,,,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906638,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,782,,,,782,,LHR,,64.020828,,,,,,,71.11,,,LHR,BS(CS),LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906639,Sheikhupura ,10,Admit Card Printed,LHR,,,,BS(EE),,,,Lahore,SSC,1100,875,Lahore,HSSC-I,520,875,,LHR,,39.236108,,,,,,,56.64,,,,,CFD,BS(EE)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906640,Islamabad,10,Admit Card Printed,ISB,,,,BBA,,,,Federal,SSC,1050,952,Federal,HSSC (I+II),1100,952,0,ISB,42.041668,,,,,,,61.88,,,,ISB,BBA,ISB,BBA       ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906641,Lahore,2,AcademicInfo,,,,,,,,,Lahore,SSC,1100,832,Lahore,HSSC-I,510,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906642,Peshawar,10,Admit Card Printed,PWR,,,,BS(SE),BS(CS),BS(EE),,Peshawar,SSC,1100,1005,Peshawar,HSSC-I,500,1005,,PWR,,68.263884,,,,,,,82.53,,,PWR,BS(SE),,,,,,,,,,,,,,,,,,,,,,,,,,
1906643,Lahore,10,Admit Card Printed,LHR,,,,BBA,,,,Lahore,SSC,1100,1002,Lahore,HSSC-I,505,1002,,LHR,45.375005,,,,,,,58.73,,,,,,LHR,BBA       ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906644,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Federal,SSC,1050,1013,Lahore,HSSC-I,520,1013,,LHR,,74.756939,,,,,,,81.51,,,LHR,BS(CS),LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906645,Gujrat,2,AcademicInfo,,,,,,,,,Gujranwala,SSC,1100,1003,,,,1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906646,Gujranwala,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,693,Cambridge,A-Level,1100,693,67,LHR,,33.666665,,,,,67.27,,50.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906647,Rawalpindi,10,Admit Card Printed,ISB,,,,BS(CS),,,,Federal,SSC,1050,870,Federal,HSSC-I,520,870,,ISB,,20.805556,,,,,,,44.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906648,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),BS(EE),,,Karachi,SSC,850,665,Karachi,HSSC-I,550,665,,KHI,,21.777779,,,,,,,44.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906649,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,934,Lahore,HSSC-I,520,934,,LHR,,28.881943,,,,,,,53.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906650,Islamabad,10,Admit Card Printed,ISB,,,,BS(DS),BS(CS),,,Mirpur,SSC,1100,886,Mirpur,HSSC-I,520,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906652,Sahiwal,10,Admit Card Printed,LHR,,,,BS(CS),,,,Sahiwal,SSC,1100,976,Sahiwal,HSSC-I,520,976,,LHR,,35.673607,,,,,,,49.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906653,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(EE),BS(AF),,Lahore,SSC,1100,894,Lahore,HSSC-I,520,894,,LHR,19.833342,35.625002,,,,,,47.9,55.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906654,Sanghar,8,Fee Paid,KHI,,,,BS(CS),,,,Mirpur Khas,SSC,850,652,Mirpur Khas,HSSC-I,550,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906655,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,765,,,,765,,LHR,,52.354163,,,,,,,64.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906656,Lahore,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906657,Gujrat,10,Admit Card Printed,ISB,,,,BS(CS),,,,Gujranwala,SSC,1100,786,Gujranwala,HSSC-I,520,786,,ISB,,11.555553,,,,,,,35.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906658,Lahore,10,Admit Card Printed,LHR,,,,BS(EE),BS(CS),,,Lahore,SSC,1100,766,Lahore,HSSC-I,520,766,,LHR,,24.124999,,,,,,,39.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906659,Faisalabad,10,Admit Card Printed,CFD,,,,BBA,,,,Cambridge,O-Level,900,640,,,,640,,CFD,49.083336,,,,,,,56.54,,,,FSD,BBA,,,,,,,,,,,,,,,,,,,,,,,,,,
1906660,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(CV),,,Lahore,SSC,1100,851,Lahore,HSSC-I,520,851,,LHR,,33.194445,,,,,,,49.29,,,,,CFD,BS(EE)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906661,Gujrat,10,Admit Card Printed,ISB,,,,BS(CS),BS(CSDF),BS(AI),BS(DS),Cambridge,O-Level,900,630,Gujranwala,HSSC-I,510,630,,ISB,,12.479166,,,,,,,42.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906663,Jhelum,10,Admit Card Printed,ISB,,,,BS(EE),BS(CS),BS(AF),BBA,Federal,SSC,1050,890,Federal,HSSC-I,520,890,,ISB,36.041672,26.833332,,,,,,50.04,45.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906664,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,630,,,,630,,LHR,,51.159721,,,,,,,57.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906665,Okara,10,Admit Card Printed,LHR,,,,BS(CS),,,,Sahiwal,SSC,1100,955,Sahiwal,HSSC-I,520,955,0,LHR,,45.937498,,,,,,,64.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906666,Karachi ,5,Picture,KHI,,,,BS(CS),,,,Karachi,SSC,850,759,,,,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906667,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(CV),BS(EE),BBA,Cambridge,O-Level,900,698,,,,698,,LHR,,20.819442,,,,,,,45.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906669,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(CV),BS(EE),BBA,Lahore,SSC,1100,860,Lahore,HSSC-I,520,860,0,LHR,12.666675,20.02778,,,,,,40.66,44.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906670,Lahore,10,Admit Card Printed,LHR,,,,BS(EE),,,,Lahore,SSC,1100,1023,Lahore,HSSC-I,520,1023,,LHR,,63.749996,,,,,,,70.34,,,LHR,BS(EE),LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906670,Lahore,10,Admit Card Printed,LHR,,,,BS(EE),,,,Lahore,SSC,1100,1023,Lahore,HSSC-I,520,1023,,LHR,,63.749996,,,,,,,70.34,,,LHR,BS(EE),LHR,BS(EE)    ,Cancelled,,,,,,,,,,,,,,,,,,,,,,,
1906671,Sahiwal,10,Admit Card Printed,CFD,,,,BS(CS),BS(SE),,,Federal,SSC,1050,658,Sahiwal,HSSC-I,510,658,,CFD,,14.951388,,,,,,,41.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906672,Rawalpindi,8,Fee Paid,ISB,,,,BS(AI),BS(CS),BS(DS),,London,O-Level,900,782,,,,782,80,,,,,,,,79.1,,,ISB,BS(AI),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906673,Lahore,10,Admit Card Printed,CFD,,,,BS(CS),,,,Lahore,SSC,1100,800,,,,800,,LHR,,7.881944,,,,,,,36.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906674,Gujrat,8,Fee Paid,ISB,,,,BS(CS),,,,Gujranwala,SSC,1100,1014,Gujranwala,HSSC-I,520,1014,87,,,,,,,,86.19,,,ISB,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906675,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BBA,BS(AF),,Lahore,SSC,1100,782,Lahore,HSSC-I,510,782,32,LHR,20.458341,3.694447,,,,,,39.84,31.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906676,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(EE),BS(CV),,Gujranwala,SSC,1100,885,,,,885,,LHR,,17.583335,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906677,Lahore,7,Challan Printed,LHR,,,,BS(CS),BS(AF),BBA,,Federal,SSC,1050,792,Lahore,HSSC (I+II),1100,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906678,Lahore,7,Challan Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,738,,,,738,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906679,Rawalpindi,10,Admit Card Printed,ISB,,,,BS(EE),BS(CS),,,Federal,SSC,1050,893,Federal,HSSC-I,520,893,,ISB,,45.444444,,,,,,,59.26,,,ISB,BS(EE),ISB,BS(EE)    ,Cancelled,,,,,,,,,,,,,,,,,,,,,,,
1906681,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,600,Lahore,HSSC (I+II),1100,600,,LHR,,57.319442,,,,,,,63.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906682,Karachi ,10,Admit Card Printed,KHI,,,,BS(SE),BS(EE),BS(CS),,Federal,SSC,1050,874,Federal,HSSC-I,520,874,,KHI,,55.749998,,,,,,,61.34,,,KHI,BS(SE),,,,,,,,,,,,,,,,,,,,,,,,,,
1906683,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),BBA,BS(EE),BS(AF),Rawalpindi,SSC,1100,990,Federal,HSSC-I,520,990,,ISB,61.666669,54.583329,,,,,,68.81,65.27,,,ISB,BS(CS),ISB,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906684,Swat,10,Admit Card Printed,ISB,,,,BS(CS),,,,Sawat,SSC,1100,867,,,,867,,ISB,,29.395831,,,,,,,50.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906685,Lahore,2,AcademicInfo,,,,,,,,,Lahore,SSC,1100,1068,Lahore,HSSC-I,520,1068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906686,Lahore,10,Admit Card Printed,LHR,,,,BS(CV),BS(EE),,,Lahore,SSC,1100,844,Lahore,HSSC (I+II),1100,844,0,LHR,,26.541668,,,,,,,45.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906687,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),BS(EE),BS(SE),BS(AF),Cambridge,O-Level,900,771,,,,771,,KHI,,52.180552,,,,,,,64.64,,,KHI,BS(CS),KHI,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906688,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),,,,Karachi,SSC,850,717,Karachi,HSSC-I,550,717,0,KHI,,31.041665,,,,,,,52.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906689,Karachi ,10,Admit Card Printed,LHR,,,,BS(CS),,,,Karachi,SSC,850,731,Karachi,HSSC-I,550,731,68,KHI,,62.715275,,,,,75.91,,73.27,,,LHR,BS(CS),LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906690,Khanewal,10,Admit Card Printed,ISB,,,,BBA,,,,Multan,SSC,1100,819,,,,819,0,ISB,34.500001,,,,,,,50.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906691,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,991,Lahore,HSSC-I,520,991,,LHR,,35.965274,,,,,,,55.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906692,Islamabad,7,Challan Printed,ISB,,,,BS(EE),,,,Federal,SSC,1050,804,Federal,HSSC-I,520,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906693,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),,,,Cambridge,O-Level,900,714,Cambridge,A-Level,1100,714,,KHI,,49.409719,,,,,,,63.34,,,KHI,BS(CS),KHI,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906694,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(CV),,,Lahore,SSC,1100,1007,Lahore,HSSC-I,520,1007,60,LHR,,51.999997,,,,,72.98,,68.98,,,LHR,BS(CS),LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906695,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),,,,Agha Khan,SSC,1100,787,Agha Khan,HSSC-I,500,787,,KHI,,22.020831,,,,,,,43.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906696,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),,,,Agha Khan,SSC,1100,940,Agha Khan,HSSC-I,500,940,,KHI,,59.826385,,,,,,,72.81,,,KHI,BS(CS),KHI,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906697,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),BS(SE),,,Karachi,SSC,850,648,,,,648,,KHI,,36.368054,,,,,,,52.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906699,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,900,Lahore,HSSC-I,510,900,59,LHR,,29.493051,,,,,66.46,,51.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906700,Lahore,3,Preferences,LHR,,,,BS(CS),,,,Lahore,SSC,1100,933,,,,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906701,Lahore,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,900,765,,,,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906702,Rawalpindi,7,Challan Printed,ISB,,,,BS(CS),,,,Federal,SSC,1050,712,,,,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906703,Islamabad,10,Admit Card Printed,ISB,,,,BBA,BS(AF),,,Cambridge,O-Level,900,650,,,,650,,ISB,38.000003,,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906704,Others,6,Declaration,CFD,,,,BS(EE),BS(CS),,,Agha Khan,SSC,1100,867,Agha Khan,HSSC-I,500,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906705,Karachi ,10,Admit Card Printed,LHR,,,,BS(EE),BS(CS),,,Lahore,SSC,1100,800,Lahore,HSSC-I,520,800,,LHR,,12.722223,,,,,,,39.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906706,Islamabad,10,Admit Card Printed,ISB,,,,BS(AI),,,,Cambridge,O-Level,900,765,,,,765,,ISB,,40.888886,,,,,,,58.69,,,ISB,BS(AI),ISB,BS(AI)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906707,Rawalpindi,7,Challan Printed,ISB,,,,BS(CS),,,,Federal,SSC,1050,878,Federal,HSSC-I,520,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906708,Karachi ,10,Admit Card Printed,KHI,,,,BS(AF),,,,Karachi,SSC,850,526,,,,526,,KHI,26.500004,,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906710,Faisalabad,10,Admit Card Printed,CFD,,,,BS(CS),,,,Faislabad,SSC,1100,1021,Faislabad,HSSC (I+II),1100,1021,,CFD,,45.284722,,,,,,,58.32,,,FSD,BS(CS),CFD,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906711,Lahore,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906712,Faisalabad,10,Admit Card Printed,CFD,,,,BS(CS),,,,Faislabad,SSC,1100,1031,Faislabad,HSSC-I,520,1031,,CFD,,49.937497,,,,,,,67.95,,,FSD,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,
1906713,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),BS(EE),,,Cambridge,O-Level,900,641,,,,641,,KHI,,21.916667,,,,,,,43.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906714,Rawalpindi,4,TestType,ISB,,,,BS(CSDF),,,,Federal,SSC,1050,961,,,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906716,Karachi ,10,Admit Card Printed,KHI,,,,BS(EE),BS(CS),,,Cambridge,O-Level,900,748,Cambridge,A-Level,1100,748,,KHI,,58.958333,,,,,,,66.88,,,KHI,BS(EE),,,,,,,,,,,,,,,,,,,,,,,,,,
1906717,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),,,,Karachi,SSC,850,673,Karachi,HSSC-I,550,673,,KHI,,51.055553,,,,,,,63.07,,,KHI,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,
1906718,Rawalpindi,7,Challan Printed,ISB,,,,BS(AF),BBA,,,Federal,SSC,1050,704,Federal,HSSC-I,550,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906719,Islamabad,2,AcademicInfo,,,,,,,,,Federal,SSC,1100,710,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906720,Rawalpindi,10,Admit Card Printed,ISB,,,,BBA,BS(AF),,,Federal,SSC,1050,813,Federal,HSSC-I,520,813,,ISB,46.625004,,,,,,,50.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906721,Quetta,10,Admit Card Printed,LHR,,,,BS(CS),BS(CV),,,Lahore,SSC,1100,844,Lahore,HSSC (I+II),1100,844,,LHR,,44.152778,,,,,,,56.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906722,Lahore,10,Admit Card Printed,LHR,,,,BS(EE),BS(CV),BS(CS),,Lahore,SSC,1100,1003,Lahore,HSSC-I,520,1003,,LHR,,34.583333,,,,,,,52.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906723,Shangla,10,Admit Card Printed,PWR,,,,BS(EE),,,,Mardan,SSC,1100,860,Sawat,HSSC-I,550,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906724,Lahore,10,Admit Card Printed,LHR,,,,BS(CV),BS(CS),BS(EE),,Lahore,SSC,1100,990,,,,990,,LHR,,26.249998,,,,,,,53.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906725,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(CV),,,Lahore,SSC,1100,835,Lahore,HSSC-I,520,835,,LHR,,39.958332,,,,,,,58.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906727,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(CV),,,Lahore,SSC,1100,991,Lahore,HSSC-I,520,991,,LHR,,52.152774,,,,,,,63.29,,,LHR,BS(CV),LHR,BS(CV)    ,Cancelled,,,,,,,,,,,,,,,,,,,,,,,
1906728,Islamabad,8,Fee Paid,ISB,,,,BS(CS),,,,Cambridge,O-Level,900,720,,,,720,,,,,2400,1200,800,650,,,,,,,,ISB,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906729,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),BS(EE),BBA,,Lahore,SSC,1100,993,Lahore,HSSC-I,520,993,,LHR,51.166669,45.208333,,,,,,64.43,61.45,,,LHR,BS(EE),,,,,,,,,,,,,,,,,,,,,,,,,,
1906730,Faisalabad,4,TestType,ISB,,,,BS(EE),BS(AI),,,Lahore,SSC,1100,1028,Lahore,HSSC-I,500,1028,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906732,Multan,10,Admit Card Printed,LHR,,,,BS(CS),,,,Multan,SSC,1100,984,Multan,HSSC-I,510,984,,LHR,,41.069443,,,,,,,56.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906733,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,865,Lahore,HSSC-I,510,865,,LHR,,31.951387,,,,,,,50.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906734,Others,10,Admit Card Printed,CFD,,,,BBA,BS(CS),,,Agha Khan,SSC,1100,848,Agha Khan,HSSC-I,500,848,,CFD,60.916665,,,,,,,71.06,,,,FSD,BBA,CFD,BBA       ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906735,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),BS(SE),,,Karachi,SSC,850,737,Karachi,HSSC-I,550,737,,KHI,,33.611108,,,,,,,55.17,,,KHI,BS(CS),KHI,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906736,Rawalpindi,7,Challan Printed,ISB,,,,BS(AF),,,,Federal,SSC,1050,641,,,,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906737,Lahore,8,Fee Paid,LHR,,,,BS(CS),,,,Cambridge,O-Level,900,675,,,,675,,,,,2400,1290,800,600,,,,,,,,LHR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906739,Attock,4,TestType,ISB,,,,BS(EE),,,,Federal,SSC,1050,793,Federal,HSSC (I+II),1100,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906742,Lahore,7,Challan Printed,LHR,,,,BS(CS),BS(EE),BS(CV),,Lahore,SSC,1100,992,Lahore,HSSC-I,520,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906743,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),BS(AI),,,Cambridge,O-Level,900,657,,,,657,,ISB,,32.201388,,,,,,,48.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906745,Lahore,10,Admit Card Printed,LHR,,,,BS(CV),BS(CS),,,Lahore,SSC,1100,922,Lahore,HSSC-I,520,922,,LHR,,54.749995,,,,,,,69.88,,,LHR,BS(CV),LHR,BS(CV)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906746,Others,4,TestType,ISB,,,,BS(EE),,,,Federal,SSC,1050,928,Federal,HSSC-I,520,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906748,Rawalpindi,4,TestType,ISB,,,,BS(AI),BS(CSDF),,,Cambridge,O-Level,900,603,,,,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906749,Dera Ghazi Khan,4,TestType,ISB,,,,BBA,BS(EE),,,D.G.Khan,SSC,1100,894,Federal,HSSC-I,520,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906750,Lahore,7,Challan Printed,LHR,,,,BBA,,,,Lahore,SSC,1100,933,Lahore,HSSC-I,520,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906751,Gujranwala,7,Challan Printed,LHR,,,,BS(EE),BS(CV),BBA,,Federal,SSC,1050,953,Gujranwala,HSSC-I,520,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906752,Attock,10,Admit Card Printed,ISB,,,,BBA,,,,Cambridge,O-Level,900,595,Cambridge,A-Level,1100,595,,ISB,33.041675,,,,,,,49.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906753,Gujranwala,7,Challan Printed,LHR,,,,BS(CV),,,,Gujranwala,SSC,1100,969,Gujranwala,HSSC-I,520,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906754,Lahore,10,Admit Card Printed,LHR,,,,BS(EE),,,,Lahore,SSC,1100,807,Lahore,HSSC-I,520,807,,LHR,,26.000002,,,,,,,37.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906755,Lahore,2,AcademicInfo,,,,,,,,,Federal,SSC,1050,877,Federal,HSSC-I,510,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906756,Lahore,8,Fee Paid,LHR,,,,BS(EE),BS(AF),BS(CV),BS(CS),Federal,SSC,1050,978,Lahore,HSSC-I,520,978,82,,,,,,,,84.17,,,LHR,BS(EE),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906758,Lahore,10,Admit Card Printed,LHR,,,,BS(EE),,,,Lahore,SSC,1100,984,,,,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906759,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),,,,Karachi,SSC,850,670,,,,670,40,KHI,,39.055554,,,,,,,55,,,KHI,BS(CS),KHI,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1906760,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,940,Lahore,HSSC-I,520,940,,LHR,,51.104163,,,,,,,57.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
